"Reference","Qty","Value","Footprint"
"C1,C18","2","22pF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.54mm"
"C21","1","220p","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.54mm"
"C2,C7,C8,C9,C10,C11,C12,C13,C14,C17,C20,C22","12","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.54mm"
"C3,C4,C5,C15,C16","5","100nF","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P7.62mm"
"C6,C19","2","10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"R1,R4","2","4k7 Ohm","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical"
"U5","1","74HC02N","Package_DIP:DIP-14_W7.62mm"
"U4","1","74HC139N","Package_DIP:DIP-16_W7.62mm"
"U7,U8,U9,U10,U11","5","74HC574N","Package_DIP:DIP-20_W7.62mm"
"U12","1","74HC688N","Package_DIP:DIP-20_W7.62mm"
"SKT1,SKT2,SKT3","3","DIP14 socket",""
"SKT4,SKT5","2","DIP16 socket",""
"SKT6,SKT7,SKT8,SKT9,SKT10,SKT11,SKT12","7","DIP20 socket",""
"J1","1","idc header 2x17 34 pins 2.54mm horizontal","Connector_IDC:IDC-Header_2x17_P2.54mm_Horizontal"
"SKT13","1","PLCC44 socket",""
"SKT14","1","PLCC84 socket",""
